Kingdom,Phylum,Class,Order,Family,Genus,Relative Abundance (%)
0.55,,,,,,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Odoribacteraceae],Butyricimonas,
0.45,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Finegoldia,
0.36,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Anaerococcus,
0.33,,,,,,
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,
0.33,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,
0.33,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Phascolarctobacterium,
0.31,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Dialister,
0.31,,,,,,
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,---,
0.31,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,
0.31,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,---,
0.29,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnobacterium,
0.27,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,[Mogibacteriaceae],---,
0.21,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus],
0.16,,,,,,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,---,
0.16,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,
0.16,,,,,,
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,
0.15,,,,,,
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Sutterella,
0.14,,,,,,
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
0.14,,,,,,
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,
0.14,,,,,,
Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Clostridium,
0.13,,,,,,
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,---,
0.12,,,,,,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],[Prevotella],
0.12,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],ph2,
0.11,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],WAL_1855D,
0.1,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,
0.07,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Jan-68,
0.06,,,,,,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,
0.06,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,[Mogibacteriaceae],Mogibacterium,
0.06,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,---,
0.06,,,,,,
Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Holdemania,
0.05,,,,,,
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,
0.04,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,rc4-4,
0.04,,,,,,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Odoribacteraceae],Odoribacter,
0.04,,,,,,
Bacteria,Proteobacteria,Alphaproteobacteria,RF32,---,---,
0.04,,,,,,
Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,
0.04,,,,,,
Bacteria,Firmicutes,Clostridia,SHA-98,---,---,
0.03,,,,,,
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,
0.03,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,EtOH8,---,
0.03,,,,,,
Bacteria,Lentisphaerae,[Lentisphaeria],Victivallales,Victivallaceae,---,
0.02,,,,,,
Bacteria,Tenericutes,Mollicutes,RF39,---,---,
0.02,,,,,,
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Adlercreutzia,
0.02,,,,,,
Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,[Eubacterium],
0.02,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,
0.02,,,,,,
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,
0.02,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella,
0.01,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Dehalobacteriaceae,Dehalobacterium,
0.01,,,,,,
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
0.01,,,,,,
Bacteria,Firmicutes,Bacilli,Turicibacterales,Turicibacteraceae,Turicibacter,
0.01,,,,,,
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia,
0.01,,,,,,
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,
0.01,,,,,,
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,
0.01,,,,,,
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,---,
0.01,,,,,,
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,---,
0.01,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],---,
0.01,,,,,,
Bacteria,Cyanobacteria,4C0d-2,YS2,---,---,
0.01,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,---,
0.01,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Moryella,
0.01,,,,,,
Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,
0,,,,,,
Bacteria,Synergistetes,Synergistia,Synergistales,Dethiosulfovibrionaceae,Jonquetella,
0,,,,,,
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,---,---,
0,,,,,,
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
0,,,,,,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Dysgonomonas,
0,,,,,,
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,
0,,,,,,
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,
0,,,,,,
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,
0,,,,,,
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,
0,,,,,,
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,
0,,,,,,
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,
0,,,,,,
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
0,,,,,,
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,
0,,,,,,
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,
0,,,,,,
Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,
0,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Megasphaera,
0,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella,
0,,,,,,
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,
0,,,,,,
Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,
0,,,,,,
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Eggerthella,
0,,,,,,
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Atopobium,
0,,,,,,
